Address,Area,Frontage,Access Road,House direction,Balcony direction,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price,Project,Street,Ward,District,Province,Price_per_m2,Is_Project,Area_group,Has_certificate
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",80.0,5.0,13.0,Đông - Nam,Unknown,5.0,6.0,6.0,Have certificate,Unknown,10.0,Dự án The Crown - Vinhomes Ocean Park 3,,Xã Nghĩa Trụ,Văn Giang,Hưng Yên,0.125,1,50-80m²,1
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",70.0,6.0,13.0,Đông - Nam,Unknown,5.0,6.0,4.0,Unknown,Unknown,9.8,Dự án The Crown - Vinhomes Ocean Park 3,,Xã Nghĩa Trụ,Văn Giang,Hưng Yên,0.14,1,50-80m²,0
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",60.0,5.0,13.0,Unknown,Unknown,5.0,6.0,4.0,Unknown,Unknown,8.9,Dự án The Crown - Vinhomes Ocean Park 3,,Xã Nghĩa Trụ,Văn Giang,Hưng Yên,0.1483,1,50-80m²,0
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",91.0,5.0,13.0,Unknown,Unknown,5.0,6.0,4.0,Have certificate,Unknown,8.6,Dự án The Empire - Vinhomes Ocean Park 2,,Xã Long Hưng,Văn Giang,Hưng Yên,0.0945,1,80-120m²,1
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",96.0,6.0,13.0,Tây - Bắc,Unknown,4.0,6.0,4.0,Sale contract,Unknown,9.6,Dự án The Empire - Vinhomes Ocean Park 2,,Xã Long Hưng,Văn Giang,Hưng Yên,0.1,1,80-120m²,0
"Đường Phạm Văn Chiêu, Phường 14, Gò Vấp, Hồ Chí Minh",30.0,4.1,6.0,Đông - Nam,Unknown,2.0,2.0,2.0,Have certificate,Full,3.79,,Đường Phạm Văn Chiêu,Phường 14,Gò Vấp,Hồ Chí Minh,0.1263,0,<50m²,1
"Dự án Khu đô thị Phương Đông, Xã Đông Xá, Vân Đồn, Quảng Ninh",300.0,15.0,32.0,Đông,Nam,3.0,6.0,3.0,Have certificate,Full,9.4,Dự án Khu đô thị Phương Đông,,Xã Đông Xá,Vân Đồn,Quảng Ninh,0.0313,1,>200m²,1
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",91.0,7.0,17.0,Đông - Nam,Đông - Nam,5.0,6.0,4.0,Unknown,Basic,10.0,Dự án The Crown - Vinhomes Ocean Park 3,,Xã Nghĩa Trụ,Văn Giang,Hưng Yên,0.1099,1,80-120m²,0
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",65.0,5.0,20.0,Đông - Nam,Đông - Nam,5.0,5.0,4.0,Sale contract,Unknown,7.8,Dự án The Empire - Vinhomes Ocean Park 2,,Xã Long Hưng,Văn Giang,Hưng Yên,0.12,1,50-80m²,0
"Đường Quang Trung, Phường 12, Gò Vấp, Hồ Chí Minh",46.0,4.6,6.0,Đông - Nam,Đông - Nam,4.0,4.0,5.0,Have certificate,Full,7.99,,Đường Quang Trung,Phường 12,Gò Vấp,Hồ Chí Minh,0.1737,0,<50m²,1
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",75.0,5.0,13.0,Tây - Nam,Đông - Bắc,5.0,7.0,5.0,Sale contract,Unknown,8.7,Dự án The Empire - Vinhomes Ocean Park 2,,Xã Long Hưng,Văn Giang,Hưng Yên,0.116,1,50-80m²,0
"Dự án Sun Casa Central, Đường Dân Chủ, Xã Vĩnh Tân, Tân Uyên, Bình Dương",100.0,5.0,9.0,Unknown,Unknown,3.0,3.0,3.0,Unknown,Unknown,3.3,Dự án Sun Casa Central,Đường Dân Chủ,Xã Vĩnh Tân,Tân Uyên,Bình Dương,0.033,1,80-120m²,0
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",84.0,6.0,13.0,Tây - Bắc,Unknown,5.0,6.0,4.0,Unknown,Unknown,9.45,Dự án The Crown - Vinhomes Ocean Park 3,,Xã Nghĩa Trụ,Văn Giang,Hưng Yên,0.1125,1,80-120m²,0
"Đường Ngô Tất Tố, Phường 22, Bình Thạnh, Hồ Chí Minh",60.0,3.5,5.0,Đông - Nam,Đông,2.0,6.0,5.0,Have certificate,Full,5.6,,Đường Ngô Tất Tố,Phường 22,Bình Thạnh,Hồ Chí Minh,0.0933,0,50-80m²,1
"Dự án Vườn Vua Resort & Villas, Đường 316, Xã Đồng Trung, Thanh Thủy, Phú Thọ",369.0,15.0,12.0,Đông - Nam,Đông - Nam,2.0,4.0,4.0,Have certificate,Full,6.3,Dự án Vườn Vua Resort & Villas,Đường 316,Xã Đồng Trung,Thanh Thủy,Phú Thọ,0.0171,1,>200m²,1
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",75.0,5.0,13.0,Tây - Nam,Tây - Nam,5.0,6.0,4.0,Have certificate,Unknown,7.7,Dự án The Crown - Vinhomes Ocean Park 3,,Xã Nghĩa Trụ,Văn Giang,Hưng Yên,0.1027,1,50-80m²,1
"Đường Nguyễn Văn Đậu, Phường 6, Bình Thạnh, Hồ Chí Minh",55.0,5.0,6.0,Unknown,Unknown,2.0,4.0,3.0,Have certificate,Basic,3.25,,Đường Nguyễn Văn Đậu,Phường 6,Bình Thạnh,Hồ Chí Minh,0.0591,0,50-80m²,1
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",78.0,6.0,13.0,Unknown,Unknown,5.0,6.0,4.0,Have certificate,Unknown,9.59,Dự án The Crown - Vinhomes Ocean Park 3,,Xã Nghĩa Trụ,Văn Giang,Hưng Yên,0.1229,1,50-80m²,1
"Đường Phạm Văn Chiêu, Phường 9, Gò Vấp, Hồ Chí Minh",67.4,4.0,8.0,Unknown,Unknown,5.0,4.0,6.0,Have certificate,Basic,9.5,,Đường Phạm Văn Chiêu,Phường 9,Gò Vấp,Hồ Chí Minh,0.1409,0,50-80m²,1
"Đường Số 4, Phường 16, Gò Vấp, Hồ Chí Minh",28.0,4.1,3.0,Unknown,Unknown,2.0,2.0,2.0,Have certificate,Full,3.88,,Đường Số 4,Phường 16,Gò Vấp,Hồ Chí Minh,0.1386,0,<50m²,1
"Dự án VSIP 1, Đường D11, Phường An Phú, Thuận An, Bình Dương",150.0,5.0,9.0,Bắc,Unknown,2.0,7.0,3.0,Have certificate,Unknown,6.7,Dự án VSIP 1,Đường D11,Phường An Phú,Thuận An,Bình Dương,0.0447,1,120-200m²,1
"Đường An Dương Vương, Phường Phú Thượng, Tây Hồ, Hà Nội",72.0,5.6,3.5,Unknown,Unknown,1.0,4.0,4.0,Have certificate,Basic,10.0,,Đường An Dương Vương,Phường Phú Thượng,Tây Hồ,Hà Nội,0.1389,0,50-80m²,1
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",78.0,6.0,13.0,Đông - Nam,Đông - Nam,4.0,6.0,6.0,Have certificate,Basic,8.63,Dự án The Empire - Vinhomes Ocean Park 2,,Xã Long Hưng,Văn Giang,Hưng Yên,0.1106,1,50-80m²,1
"Đường 12, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",68.0,4.1,6.0,Đông - Bắc,Unknown,3.0,4.0,6.0,Have certificate,Unknown,6.5,,Đường 12,Phường Hiệp Bình Phước,Thủ Đức,Hồ Chí Minh,0.0956,0,50-80m²,1
"Đường Phạm Văn Chiêu, Phường 9, Gò Vấp, Hồ Chí Minh",43.0,4.1,4.0,Đông - Nam,Unknown,3.0,3.0,3.0,Have certificate,Full,5.85,,Đường Phạm Văn Chiêu,Phường 9,Gò Vấp,Hồ Chí Minh,0.136,0,<50m²,1
"Ngõ 132, Đường Cầu Giấy, Phường Quan Hoa, Cầu Giấy, Hà Nội",32.8,4.5,6.0,Unknown,Unknown,5.0,4.0,4.0,Have certificate,Unknown,7.5,,"Ngõ 132, Đường Cầu Giấy",Phường Quan Hoa,Cầu Giấy,Hà Nội,0.2287,0,<50m²,1
"Dự án Sun Casa Central, Đường Dân Chủ, Xã Vĩnh Tân, Tân Uyên, Bình Dương",168.0,5.0,9.0,Unknown,Unknown,2.0,4.0,4.0,Unknown,Unknown,5.2,Dự án Sun Casa Central,Đường Dân Chủ,Xã Vĩnh Tân,Tân Uyên,Bình Dương,0.031,1,120-200m²,0
"Dự án Hoàng Nam Uyên Hưng, Đường Tố Hữu, Phường Uyên Hưng, Tân Uyên, Bình Dương",72.0,17.0,36.0,Unknown,Unknown,2.0,2.0,2.0,Have certificate,Unknown,2.0,Dự án Hoàng Nam Uyên Hưng,Đường Tố Hữu,Phường Uyên Hưng,Tân Uyên,Bình Dương,0.0278,1,50-80m²,1
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",70.0,5.0,13.0,Tây - Nam,Tây - Nam,5.0,6.0,4.0,Sale contract,Unknown,8.5,Dự án The Empire - Vinhomes Ocean Park 2,,Xã Long Hưng,Văn Giang,Hưng Yên,0.1214,1,50-80m²,0
"Dự án The Crown - Vinhomes Ocean Park 3, Huyện Văn Giang, Hưng Yên",75.0,5.0,13.0,Tây - Nam,Tây - Nam,5.0,5.0,4.0,Sale contract,Unknown,8.1,Dự án The Crown - Vinhomes Ocean Park 3,,,Huyện Văn Giang,Hưng Yên,0.108,1,50-80m²,0
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",80.0,5.0,13.0,Unknown,Đông - Nam,5.0,6.0,4.0,Sale contract,Unknown,9.0,Dự án The Crown - Vinhomes Ocean Park 3,,Xã Nghĩa Trụ,Văn Giang,Hưng Yên,0.1125,1,50-80m²,0
"Xã Lại Thượng, Thạch Thất, Hà Nội",378.0,4.0,3.0,Unknown,Unknown,2.0,3.0,3.0,Have certificate,Full,7.8,,,Xã Lại Thượng,Thạch Thất,Hà Nội,0.0206,0,>200m²,1
"Dự án Sông Hồng Diamond City, Đường 379, Xã Yên Phú, Yên Mỹ, Hưng Yên",88.0,5.5,11.5,Đông - Nam,Tây - Bắc,5.0,4.0,4.0,Have certificate,Unknown,6.5,Dự án Sông Hồng Diamond City,Đường 379,Xã Yên Phú,Yên Mỹ,Hưng Yên,0.0739,1,80-120m²,1
"Đường Phú Mỹ, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",54.0,5.8,3.0,Tây - Bắc,Tây - Bắc,4.0,6.0,6.0,Have certificate,Full,8.8,,Đường Phú Mỹ,Phường Mỹ Đình 1,Nam Từ Liêm,Hà Nội,0.163,0,50-80m²,1
"Đường La Phù, Xã La Phù, Hoài Đức, Hà Nội",36.0,3.8,2.2,Nam,Unknown,5.0,4.0,4.0,Have certificate,Basic,3.85,,Đường La Phù,Xã La Phù,Hoài Đức,Hà Nội,0.1069,0,<50m²,1
"Đường Nguyễn Khang, Phường Yên Hòa, Cầu Giấy, Hà Nội",41.0,4.0,3.5,Unknown,Unknown,5.0,4.0,4.0,Have certificate,Full,10.0,,Đường Nguyễn Khang,Phường Yên Hòa,Cầu Giấy,Hà Nội,0.2439,0,<50m²,1
"Yên Nghĩa, Hà Đông, Hà Nội",35.0,4.0,3.0,Unknown,Unknown,4.0,3.0,3.0,Have certificate,Basic,2.9,,Yên Nghĩa,,Hà Đông,Hà Nội,0.0829,0,<50m²,1
"Dự án The Beverly - Vinhomes Grand Park, Đường 108, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",46.0,4.1,30.0,Đông - Bắc,Đông - Bắc,3.0,1.0,1.0,Sale contract,Basic,4.3,Dự án The Beverly - Vinhomes Grand Park,Đường 108,Phường Long Thạnh Mỹ,Quận 9,Hồ Chí Minh,0.0935,1,<50m²,0
"Đường Quốc Lộ 17B, Phường Minh Tân, Kinh Môn, Hải Dương",180.0,10.0,13.0,Unknown,Unknown,4.0,3.0,3.0,Have certificate,Full,5.3,,Đường Quốc Lộ 17B,Phường Minh Tân,Kinh Môn,Hải Dương,0.0294,0,120-200m²,1
"Phụng Châu, Chương Mỹ, Hà Nội",38.0,4.0,3.0,Unknown,Unknown,3.0,3.0,3.0,Have certificate,Full,2.1,,Phụng Châu,,Chương Mỹ,Hà Nội,0.0553,0,<50m²,1
"Đường Tăng Bạt Hổ, Phường 11, Bình Thạnh, Hồ Chí Minh",45.0,5.0,6.0,Bắc,Bắc,3.0,3.0,4.0,Have certificate,Unknown,5.95,,Đường Tăng Bạt Hổ,Phường 11,Bình Thạnh,Hồ Chí Minh,0.1322,0,<50m²,1
"Dự án Waterpoint, Đường Tỉnh lộ 824, Xã An Thạnh, Bến Lức, Long An",90.0,6.0,12.0,Nam,Nam,2.0,4.0,3.0,Sale contract,Unknown,3.2,Dự án Waterpoint,Đường Tỉnh lộ 824,Xã An Thạnh,Bến Lức,Long An,0.0356,1,80-120m²,0
"Dự án Sông Hồng Diamond City, Đường 379, Xã Yên Phú, Yên Mỹ, Hưng Yên",88.0,5.5,17.0,Đông - Nam,Đông - Nam,5.0,4.0,4.0,Sale contract,Unknown,6.6,Dự án Sông Hồng Diamond City,Đường 379,Xã Yên Phú,Yên Mỹ,Hưng Yên,0.075,1,80-120m²,0
"Dự án The Standard, Đường Tân Phước Khánh 10, Phường Tân Phước Khánh, Tân Uyên, Bình Dương",85.0,5.0,9.0,Unknown,Unknown,2.0,4.0,5.0,Have certificate,Unknown,5.9,Dự án The Standard,Đường Tân Phước Khánh 10,Phường Tân Phước Khánh,Tân Uyên,Bình Dương,0.0694,1,80-120m²,1
"Dự án Vạn Xuân Tam Bình, Đường 7, Phường Tam Bình, Thủ Đức, Hồ Chí Minh",143.9,4.1,6.0,Unknown,Unknown,4.0,4.0,5.0,Unknown,Unknown,9.5,Dự án Vạn Xuân Tam Bình,Đường 7,Phường Tam Bình,Thủ Đức,Hồ Chí Minh,0.066,1,120-200m²,0
"Dự án Him Lam Thường Tín, Đường Trần Phú, Thị trấn Thường Tín, Thường Tín, Hà Nội",81.3,4.0,3.0,Unknown,Unknown,5.0,4.0,4.0,Unknown,Unknown,9.7,Dự án Him Lam Thường Tín,"Đường Trần Phú, Thị trấn Thường Tín",,Thường Tín,Hà Nội,0.1193,1,80-120m²,0
"Dự án Sông Hồng Diamond City, Đường 379, Xã Yên Phú, Yên Mỹ, Hưng Yên",88.0,5.0,13.0,Unknown,Unknown,4.0,6.0,4.0,Sale contract,Unknown,6.7,Dự án Sông Hồng Diamond City,Đường 379,Xã Yên Phú,Yên Mỹ,Hưng Yên,0.0761,1,80-120m²,0
"Hẻm 482/9, Đường Nơ Trang Long, Phường 13, Bình Thạnh, Hồ Chí Minh",38.0,4.1,6.0,Unknown,Unknown,2.0,1.0,1.0,Unknown,Unknown,4.1,,"Hẻm 482/9, Đường Nơ Trang Long",Phường 13,Bình Thạnh,Hồ Chí Minh,0.1079,0,<50m²,0
"Đường Nhiêu Tứ, Phường 7, Phú Nhuận, Hồ Chí Minh",40.0,4.1,6.0,Tây - Nam,Tây - Nam,4.0,3.0,4.0,Have certificate,Unknown,7.7,,Đường Nhiêu Tứ,Phường 7,Phú Nhuận,Hồ Chí Minh,0.1925,0,<50m²,1
"Đường Quốc Lộ 22, Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh",113.0,4.1,6.0,Unknown,Unknown,3.0,3.0,3.0,Have certificate,Unknown,6.2,,Đường Quốc Lộ 22,Phường Trung Mỹ Tây,Quận 12,Hồ Chí Minh,0.0549,0,80-120m²,1
"Dự án Phú Cường, Đường 3/2, Phường An Hòa, Rạch Giá, Kiên Giang",150.0,5.0,29.0,Tây,Tây,2.0,3.0,3.0,Sale contract,Unknown,4.9,Dự án Phú Cường,Đường 3/2,Phường An Hòa,Rạch Giá,Kiên Giang,0.0327,1,120-200m²,0
"Đường Nguyễn Trung Trực, Phường 5, Bình Thạnh, Hồ Chí Minh",69.1,4.0,4.5,Đông - Bắc,Đông - Bắc,3.0,3.0,4.0,Have certificate,Full,10.0,,Đường Nguyễn Trung Trực,Phường 5,Bình Thạnh,Hồ Chí Minh,0.1447,0,50-80m²,1
"Dự án Centana City Điền Phúc Thành, Phường Long Trường, Quận 9, Hồ Chí Minh",100.0,5.0,6.0,Đông - Nam,Unknown,3.0,5.0,3.0,Unknown,Unknown,8.1,Dự án Centana City Điền Phúc Thành,,Phường Long Trường,Quận 9,Hồ Chí Minh,0.081,1,80-120m²,0
"Đường Huỳnh Văn Bánh, Phường 12, Phú Nhuận, Hồ Chí Minh",30.0,4.1,6.0,Unknown,Unknown,3.0,3.0,3.0,Have certificate,Full,7.15,,Đường Huỳnh Văn Bánh,Phường 12,Phú Nhuận,Hồ Chí Minh,0.2383,0,<50m²,1
"Dự án The Standard, Đường Tân Phước Khánh 10, Phường Tân Phước Khánh, Tân Uyên, Bình Dương",85.0,5.0,9.0,Unknown,Unknown,3.0,4.0,4.0,Have certificate,Unknown,5.9,Dự án The Standard,Đường Tân Phước Khánh 10,Phường Tân Phước Khánh,Tân Uyên,Bình Dương,0.0694,1,80-120m²,1
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",54.0,5.0,13.0,Tây - Bắc,Unknown,5.0,6.0,4.0,Unknown,Unknown,8.15,Dự án The Crown - Vinhomes Ocean Park 3,,Xã Nghĩa Trụ,Văn Giang,Hưng Yên,0.1509,1,50-80m²,0
"Ngõ 401, Đường Xuân Đỉnh, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",52.7,7.0,3.0,Unknown,Unknown,5.0,6.0,4.0,Unknown,Full,7.6,,"Ngõ 401, Đường Xuân Đỉnh",Phường Xuân Đỉnh,Bắc Từ Liêm,Hà Nội,0.1442,0,50-80m²,0
"Đường Đào Tấn, Phường Cống Vị, Ba Đình, Hà Nội",73.0,5.0,3.0,Unknown,Unknown,4.0,4.0,4.0,Unknown,Unknown,9.5,,Đường Đào Tấn,Phường Cống Vị,Ba Đình,Hà Nội,0.1301,0,50-80m²,0
"Dự án Him Lam Thường Tín, Đường Trần Phú, Thị trấn Thường Tín, Thường Tín, Hà Nội",80.0,4.0,3.0,Unknown,Unknown,5.0,4.0,4.0,Have certificate,Unknown,10.0,Dự án Him Lam Thường Tín,"Đường Trần Phú, Thị trấn Thường Tín",,Thường Tín,Hà Nội,0.125,1,50-80m²,1
"Dự án NovaWorld Phan Thiết, Đường Lạc Long Quân, Xã Tiến Thành, Phan Thiết, Bình Thuận",120.0,8.0,13.0,Unknown,Unknown,2.0,3.0,3.0,Unknown,Unknown,3.1,Dự án NovaWorld Phan Thiết,Đường Lạc Long Quân,Xã Tiến Thành,Phan Thiết,Bình Thuận,0.0258,1,80-120m²,0
"Dự án Itaewon An Dương, Đường Quốc Lộ 10, Xã Lê Lợi, An Dương, Hải Phòng",82.5,4.5,15.5,Tây - Bắc,Unknown,4.0,4.0,3.0,Unknown,Unknown,5.71,Dự án Itaewon An Dương,Đường Quốc Lộ 10,Xã Lê Lợi,An Dương,Hải Phòng,0.0692,1,80-120m²,0
"Ngõ 7, Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",52.0,4.0,3.0,Unknown,Unknown,4.0,4.0,4.0,Unknown,Unknown,6.5,,"Ngõ 7, Phố Thái Hà",Phường Trung Liệt,Đống Đa,Hà Nội,0.125,0,50-80m²,0
"Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",45.0,6.0,3.0,Unknown,Unknown,4.0,4.0,4.0,Have certificate,Unknown,7.65,,Phố Thái Hà,Phường Trung Liệt,Đống Đa,Hà Nội,0.17,0,<50m²,1
"Dự án NovaWorld Phan Thiết, Đường Lạc Long Quân, Xã Tiến Thành, Phan Thiết, Bình Thuận",200.0,10.0,13.0,Đông - Nam,Tây - Bắc,2.0,3.0,3.0,Sale contract,Unknown,5.6,Dự án NovaWorld Phan Thiết,Đường Lạc Long Quân,Xã Tiến Thành,Phan Thiết,Bình Thuận,0.028,1,120-200m²,0
"Dự án HUD Me Linh Central, Xã Thanh Lâm, Mê Linh, Hà Nội",120.0,4.0,3.0,Unknown,Unknown,3.0,4.0,3.0,Unknown,Unknown,8.4,Dự án HUD Me Linh Central,,Xã Thanh Lâm,Mê Linh,Hà Nội,0.07,1,80-120m²,0
"240/, Đường Hiệp Thành 13, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",64.0,4.0,6.0,Unknown,Unknown,3.0,4.0,3.0,Have certificate,Unknown,4.7,,"240/, Đường Hiệp Thành 13",Phường Hiệp Thành,Quận 12,Hồ Chí Minh,0.0734,0,50-80m²,1
"Đường Nguyễn Trãi, Phường Nhân Chính, Thanh Xuân, Hà Nội",50.0,3.7,3.5,Unknown,Unknown,5.0,7.0,6.0,Have certificate,Unknown,8.9,,Đường Nguyễn Trãi,Phường Nhân Chính,Thanh Xuân,Hà Nội,0.178,0,<50m²,1
"Đường Quang Tiến, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.",36.0,7.0,3.0,Tây - Nam,Tây - Nam,5.0,3.0,4.0,Have certificate,Full,5.6,,Đường Quang Tiến,Phường Đại Mỗ,Nam Từ Liêm,Hà Nội,0.1556,0,<50m²,1
"Dự án Vườn Vua Resort & Villas, Đường Trung Thịnh, Xã Đồng Trung, Thanh Thủy, Phú Thọ",368.0,7.0,13.5,Unknown,Unknown,2.0,4.0,3.0,Unknown,Unknown,6.3,Dự án Vườn Vua Resort & Villas,Đường Trung Thịnh,Xã Đồng Trung,Thanh Thủy,Phú Thọ,0.0171,1,>200m²,0
"Dự án Sông Hồng Diamond City, Đường 379, Xã Yên Phú, Yên Mỹ, Hưng Yên",88.0,5.0,13.0,Unknown,Unknown,4.0,6.0,4.0,Unknown,Unknown,6.6,Dự án Sông Hồng Diamond City,Đường 379,Xã Yên Phú,Yên Mỹ,Hưng Yên,0.075,1,80-120m²,0
"Dự án Dream Home Palace, Đường Trịnh Quang Nghị, Phường 7, Quận 8, Hồ Chí Minh",156.0,4.1,6.0,Unknown,Unknown,2.0,3.0,3.0,Sale contract,Unknown,7.8,Dự án Dream Home Palace,Đường Trịnh Quang Nghị,Phường 7,Quận 8,Hồ Chí Minh,0.05,1,120-200m²,0
"Dự án Florence Mỹ Đình, Đường Trần Hữu Dực, Thị trấn Cầu Diễn, Nam Từ Liêm, Hà Nội.",99.4,4.0,3.0,Đông - Bắc,Đông - Bắc,2.0,4.0,2.0,Have certificate,Full,9.5,Dự án Florence Mỹ Đình,"Đường Trần Hữu Dực, Thị trấn Cầu Diễn",,Nam Từ Liêm,Hà Nội,0.0956,1,80-120m²,1
"Đường Mỗ Lao, Phường Văn Quán, Hà Đông, Hà Nội",33.0,4.0,3.0,Tây - Nam,Unknown,5.0,4.0,4.0,Have certificate,Basic,4.95,,Đường Mỗ Lao,Phường Văn Quán,Hà Đông,Hà Nội,0.15,0,<50m²,1
"Dự án Thanh Hà Mường Thanh, Phường Kiến Hưng, Hà Đông, Hà Nội",100.0,4.0,3.0,Unknown,Unknown,5.0,4.0,4.0,Unknown,Unknown,7.5,Dự án Thanh Hà Mường Thanh,,Phường Kiến Hưng,Hà Đông,Hà Nội,0.075,1,80-120m²,0
"Đường Tố Hữu, Phường Yên Nghĩa, Hà Đông, Hà Nội",34.0,4.0,2.0,Unknown,Unknown,4.0,3.0,4.0,Unknown,Full,2.9,,Đường Tố Hữu,Phường Yên Nghĩa,Hà Đông,Hà Nội,0.0853,0,<50m²,0
"Dự án Đông Tăng Long, Đường Nguyễn Duy Trinh, Phường Trường Thạnh, Quận 9, Hồ Chí Minh",100.0,20.0,12.0,Bắc,Bắc,3.0,4.0,5.0,Have certificate,Basic,6.5,Dự án Đông Tăng Long,Đường Nguyễn Duy Trinh,Phường Trường Thạnh,Quận 9,Hồ Chí Minh,0.065,1,80-120m²,1
